rev_Mean,mou_Mean,totmrc_Mean,da_Mean,ovrmou_Mean,ovrrev_Mean,vceovr_Mean,datovr_Mean,roam_Mean,change_mou,change_rev,drop_vce_Mean,drop_dat_Mean,blck_vce_Mean,blck_dat_Mean,unan_vce_Mean,unan_dat_Mean,recv_vce_Mean,recv_sms_Mean,comp_vce_Mean,comp_dat_Mean,custcare_Mean,ccrndmou_Mean,cc_mou_Mean,inonemin_Mean,threeway_Mean,mou_cvce_Mean,mou_cdat_Mean,mou_rvce_Mean,owylis_vce_Mean,mouowylisv_Mean,iwylis_vce_Mean,mouiwylisv_Mean,peak_vce_Mean,peak_dat_Mean,mou_peav_Mean,mou_pead_Mean,opk_vce_Mean,opk_dat_Mean,mou_opkv_Mean,mou_opkd_Mean,drop_blk_Mean,complete_Mean,callfwdv_Mean,callwait_Mean,churn,months,uniqsubs,actvsubs,new_cell,crclscod,asl_flag,rmcalls,rmmou,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,csa,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,mtrcycle,rv,ownrent,dwlltype,marital,age1,age2,adults,income,numbcars,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,car_buy,eqpdays,Customer_ID,mail,phoneswap,retentioncall,acptcall,referrals,pcowner_binary,women,mailordr_binary,mailresp_binary,Cluster
23.9975,219.25,22.5,0.2475,0.0,0.0,0.0,0.0,0.0,-157.25,-18.9975,0.6666666667,False,0.6666666667,False,6.3333333333,False,42.333333333,False,45.0,0.0,0.0,0.0,0.0,18.0,0.0,90.643333333,0.0,97.176666667,0.0,0.0,0.0,0.0,58.0,False,132.6,False,24.0,False,55.22,False,1.3333333333,45.0,False,0.3333333333,True,61,2,1,U,A,N,0.0,0.0,1652,4228.0,1504.62,1453.44,4085.0,1602,29.66,83.37,32.69,272,116,30,322.0,136.0,38.0,SEAPOR503,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.989990234375,2.0,2.0,WCMB,False,False,False,O,S,S,62.0,0.0,1.0,4.0,3.0,False,N,U,U,U,U,U,Y,New,361.0,1000001,False,True,True,True,False,True,False,True,True,2
16.99,10.25,16.99,0.0,0.0,0.0,0.0,0.0,0.0,-4.25,0.0,0.3333333333,False,0.0,False,2.6666666667,False,0.3333333333,False,6.0,0.0,0.0,0.0,0.0,0.3333333333,0.0,5.4266666667,0.0,0.0,0.0,0.0,0.0,0.0,5.0,False,5.1933333333,False,1.0,False,0.2333333333,False,0.3333333333,6.0,False,0.0,True,58,1,1,Y,C,N,0.0,0.0,7903,24385.053333,2155.91,1934.47,24303.05,7888,34.54,433.98,140.86,12,7,17,11.0,6.0,17.0,PITHOM412,GREAT LAKES AREA,N,N,29.989990234375,2.0,1.0,UNKW,False,False,False,O,S,M,40.0,42.0,2.0,5.0,2.0,False,N,U,Y,U,U,U,Y,New,1504.0,1000003,False,True,False,False,False,True,False,True,True,2
38.0,7.5,38.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,False,0.0,False,0.0,False,1.3333333333,False,3.6666666667,0.0,0.0,0.0,0.0,1.3333333333,0.0,8.41,0.0,0.4133333333,0.3333333333,0.2566666667,0.0,0.0,1.3333333333,False,3.38,False,3.6666666667,False,5.45,False,0.0,3.6666666667,False,0.0,False,60,1,1,Y,B,N,0.0,0.0,1502,3065.0,2000.9,1941.81,3035.0,1479,40.45,63.23,30.81,8,3,38,50.0,25.0,40.0,MILMIL414,CHICAGO AREA,N,N,29.989990234375,1.0,1.0,UNKW,False,False,False,Unknown,M,M,26.0,26.0,4.0,6.0,1.0,False,U,Y,U,U,U,U,Y,New,1812.0,1000004,False,False,False,False,False,False,False,False,False,2
55.23,570.5,71.98,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0.0,9.6666666667,False,0.6666666667,False,77.0,False,94.666666667,False,137.0,0.0,8.6666666667,15.0,11.076666667,66.0,0.0,285.23333333,0.0,106.33,14.666666667,10.816666667,0.6666666667,0.3666666667,97.333333333,False,173.47666667,False,90.333333333,False,218.08666667,False,10.333333333,137.0,False,0.0,False,57,1,1,Y,A,N,0.0,0.0,4485,14028.0,2181.12,2166.48,13965.0,4452,38.69,249.38,79.5,558,191,55,586.0,196.0,80.0,NNYSYR315,NEW ENGLAND AREA,Y,N,149.989990234375,6.0,4.0,WCMB,False,False,False,R,M,S,56.0,0.0,1.0,6.0,1.0,False,I,U,U,U,U,U,Y,New,434.0,1000005,False,True,False,False,False,True,False,False,False,1
82.275,1312.25,75.0,1.2375,0.0,0.0,0.0,0.0,0.0,156.75,8.145,52.0,False,7.6666666667,False,76.0,False,365.0,False,577.33333333,0.0,4.3333333333,11.0,7.7533333333,301.66666667,1.3333333333,369.53666667,0.0,200.32,370.33333333,243.21333333,147.0,85.146666667,555.66666667,False,382.09666667,False,303.66666667,False,187.76,False,59.666666667,577.33333333,False,22.666666667,False,59,2,2,Y,C,N,0.0,0.0,26812,40869.0,4033.98,3932.9,40295.0,26362,83.68,857.34,560.89,1260,960,80,1187.0,853.0,78.0,PITHOM412,GREAT LAKES AREA,N,N,129.989990234375,9.0,4.0,WCMB,False,False,False,O,Unknown,S,30.0,0.0,1.0,6.0,1.0,False,U,U,U,U,U,U,Y,New,458.0,1000006,False,True,False,False,False,False,False,True,True,0
17.145,0.0,16.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.155,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,0.0,True,53,2,2,N,A,N,0.0,0.0,6279,17390.033333,3091.7,3065.24,17371.03,6271,58.95,334.06,120.6,0,0,17,0.0,0.0,17.0,OKCTUL918,DALLAS AREA,Y,N,29.989990234375,4.0,3.0,UNKW,False,False,False,O,S,M,46.0,54.0,3.0,9.0,0.0,False,N,U,U,U,U,U,Y,UNKNOWN,852.0,1000007,False,True,False,False,False,True,False,True,True,2
38.0525,682.5,52.49,0.2475,0.0,0.0,0.0,0.0,0.0,147.5,-3.0625,9.0,False,1.6666666667,False,13.0,False,13.0,False,73.333333333,0.0,0.6666666667,5.3333333333,5.2766666667,5.0,0.0,470.02333333,0.0,42.196666667,6.6666666667,6.23,0.0,0.0,33.333333333,False,81.066666667,False,53.0,False,431.15333333,False,10.666666667,73.333333333,False,0.6666666667,False,53,1,1,Y,B,N,0.0,0.0,4491,12492.0,1427.71,1423.06,12439.0,4470,34.71,303.39,109.02,633,96,39,719.0,112.0,58.0,OKCTUL918,DALLAS AREA,Y,N,79.989990234375,3.0,2.0,WCMB,False,False,False,R,S,M,28.0,0.0,2.0,1.0,2.0,True,S,U,U,U,U,U,Y,New,231.0,1000008,False,True,False,False,False,False,False,False,False,2
97.3375,1039.0,50.0,4.95,419.5,41.95,41.95,0.0,0.0,198.0,23.2625,12.666666667,False,3.0,False,176.0,False,96.0,False,346.66666667,0.0,11.333333333,13.666666667,6.25,45.0,0.3333333333,460.92,0.0,213.85333333,103.33333333,54.713333333,0.3333333333,0.0566666667,238.33333333,False,377.45333333,False,192.33333333,False,297.32,False,15.666666667,346.66666667,False,4.0,False,55,1,1,Y,B,N,0.0,0.0,16730,43231.053333,4404.44,4313.71,42943.05,16579,81.39,810.25,312.81,973,465,90,915.0,434.0,90.0,MILMIL414,CHICAGO AREA,Y,N,29.989990234375,3.0,3.0,UNKW,False,False,False,Unknown,M,M,38.0,24.0,3.0,4.0,1.0,False,F,U,U,U,U,U,N,New,700.0,1000009,False,True,False,False,False,False,False,False,False,1
31.6625,25.5,29.99,0.2475,0.0,0.0,0.0,0.0,0.0,59.5,4.0275,0.0,False,1.0,False,2.3333333333,False,0.0,False,3.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666667,False,1.8666666667,False,1.6666666667,False,1.9333333333,False,1.0,3.3333333333,False,0.0,False,57,2,2,N,A,N,0.0,0.0,391,994.0,1458.42,1457.84,976.0,377,26.51,17.75,6.85,6,3,30,54.0,7.0,34.0,OKCTUL918,DALLAS AREA,Y,N,79.989990234375,2.0,2.0,WCMB,False,False,False,O,S,M,52.0,58.0,2.0,9.0,2.0,True,N,U,U,U,U,U,Y,New,601.0,1000010,False,True,False,False,False,False,False,True,True,2
62.1275,97.5,65.985,2.475,0.0,0.0,0.0,0.0,0.0,23.5,6.8225,0.0,False,0.3333333333,False,4.0,False,0.0,False,15.0,0.3333333333,4.0,98.666666667,96.92,0.0,0.0,136.49333333,0.0566666667,0.0,3.6666666667,15.366666667,0.0,0.0,7.6666666667,True,66.073333333,True,7.3333333333,False,70.42,False,0.3333333333,15.333333333,False,0.0,False,59,2,2,Y,A,N,0.0,0.0,2392,6868.11,3290.73,3195.01,6620.11,2312,56.05,116.14,40.56,90,16,60,123.0,32.0,64.0,OKCOKC405,DALLAS AREA,Y,N,79.989990234375,3.0,3.0,WCMB,False,False,False,O,S,S,46.0,46.0,5.0,6.0,0.0,False,N,Y,U,U,U,U,Y,UNKNOWN,464.0,1000011,False,True,False,False,False,False,False,True,True,1
