,column_name,missing_pct,unique_values,rare_categories
rev_Mean,rev_Mean,0.0,35967,N/A (numeric/high-cardinality)
mou_Mean,mou_Mean,0.0,9368,N/A (numeric/high-cardinality)
totmrc_Mean,totmrc_Mean,0.0,7911,N/A (numeric/high-cardinality)
da_Mean,da_Mean,0.0,165,N/A (numeric/high-cardinality)
ovrmou_Mean,ovrmou_Mean,0.0,2506,N/A (numeric/high-cardinality)
ovrrev_Mean,ovrrev_Mean,0.0,11679,N/A (numeric/high-cardinality)
vceovr_Mean,vceovr_Mean,0.0,7179,N/A (numeric/high-cardinality)
datovr_Mean,datovr_Mean,0.0,731,N/A (numeric/high-cardinality)
roam_Mean,roam_Mean,0.0,5104,N/A (numeric/high-cardinality)
change_mou,change_mou,0.0,7481,N/A (numeric/high-cardinality)
change_rev,change_rev,0.0,31186,N/A (numeric/high-cardinality)
drop_vce_Mean,drop_vce_Mean,0.0,321,N/A (numeric/high-cardinality)
drop_dat_Mean,drop_dat_Mean,0.0,2,True (2.49%)
blck_vce_Mean,blck_vce_Mean,0.0,431,N/A (numeric/high-cardinality)
blck_dat_Mean,blck_dat_Mean,0.0,2,True (1.15%)
unan_vce_Mean,unan_vce_Mean,0.0,964,N/A (numeric/high-cardinality)
unan_dat_Mean,unan_dat_Mean,0.0,2,True (3.01%)
recv_vce_Mean,recv_vce_Mean,0.0,1782,N/A (numeric/high-cardinality)
recv_sms_Mean,recv_sms_Mean,0.0,2,True (0.84%)
comp_vce_Mean,comp_vce_Mean,0.0,2273,N/A (numeric/high-cardinality)
comp_dat_Mean,comp_dat_Mean,0.0,348,N/A (numeric/high-cardinality)
custcare_Mean,custcare_Mean,0.0,204,N/A (numeric/high-cardinality)
ccrndmou_Mean,ccrndmou_Mean,0.0,442,N/A (numeric/high-cardinality)
cc_mou_Mean,cc_mou_Mean,0.0,8894,N/A (numeric/high-cardinality)
inonemin_Mean,inonemin_Mean,0.0,1279,N/A (numeric/high-cardinality)
threeway_Mean,threeway_Mean,0.0,88,N/A (numeric/high-cardinality)
mou_cvce_Mean,mou_cvce_Mean,0.0,65572,N/A (numeric/high-cardinality)
mou_cdat_Mean,mou_cdat_Mean,0.0,4146,N/A (numeric/high-cardinality)
mou_rvce_Mean,mou_rvce_Mean,0.0,49669,N/A (numeric/high-cardinality)
owylis_vce_Mean,owylis_vce_Mean,0.0,869,N/A (numeric/high-cardinality)
mouowylisv_Mean,mouowylisv_Mean,0.0,25959,N/A (numeric/high-cardinality)
iwylis_vce_Mean,iwylis_vce_Mean,0.0,520,N/A (numeric/high-cardinality)
mouiwylisv_Mean,mouiwylisv_Mean,0.0,20517,N/A (numeric/high-cardinality)
peak_vce_Mean,peak_vce_Mean,0.0,2086,N/A (numeric/high-cardinality)
peak_dat_Mean,peak_dat_Mean,0.0,2,None
mou_peav_Mean,mou_peav_Mean,0.0,61269,N/A (numeric/high-cardinality)
mou_pead_Mean,mou_pead_Mean,0.0,2,None
opk_vce_Mean,opk_vce_Mean,0.0,1889,N/A (numeric/high-cardinality)
opk_dat_Mean,opk_dat_Mean,0.0,2,None
mou_opkv_Mean,mou_opkv_Mean,0.0,56905,N/A (numeric/high-cardinality)
mou_opkd_Mean,mou_opkd_Mean,0.0,2,None
drop_blk_Mean,drop_blk_Mean,0.0,501,N/A (numeric/high-cardinality)
complete_Mean,complete_Mean,0.0,2303,N/A (numeric/high-cardinality)
callfwdv_Mean,callfwdv_Mean,0.0,2,True (0.42%)
callwait_Mean,callwait_Mean,0.0,253,N/A (numeric/high-cardinality)
churn,churn,0.0,2,None
months,months,0.0,55,N/A (numeric/high-cardinality)
uniqsubs,uniqsubs,0.0,15,"4 (2.50%), 5 (0.80%), 6 (0.30%), 7 (0.10%), 8 (0.04%), 9 (0.02%), 11 (0.01%), 10 (0.01%), 12 (0.00%), 13 (0.00%), 18 (0.00%), 196 (0.00%)"
actvsubs,actvsubs,0.0,12,"3 (3.71%), 4 (0.87%), 5 (0.25%), 0 (0.07%), 6 (0.01%), 8 (0.00%), 9 (0.00%), 7 (0.00%), 53 (0.00%), 11 (0.00%)"
new_cell,new_cell,0.0,3,None
crclscod,crclscod,0.0,53,"B (4.21%), DA (3.62%), ZA (3.48%), C (1.51%), A2 (0.85%), E4 (0.72%), U (0.48%), E (0.35%), GA (0.27%), D4 (0.27%), D (0.25%), G (0.24%), Z4 (0.20%), JF (0.20%), Z (0.19%), CY (0.18%), M (0.17%), C2 (0.17%), ZY (0.11%), I (0.11%), D5 (0.10%), W (0.10%), C5 (0.07%), U1 (0.07%), B2 (0.06%), EM (0.06%), Z5 (0.05%), V1 (0.05%), EC (0.04%), GY (0.03%), J (0.03%), O (0.02%), CC (0.02%), E2 (0.02%), K (0.02%), Y (0.01%), Z1 (0.01%), H (0.01%), Z2 (0.01%), TP (0.01%), D2 (0.01%), IF (0.00%), A3 (0.00%), P1 (0.00%), EF (0.00%), V (0.00%), ZF (0.00%), L (0.00%)"
asl_flag,asl_flag,0.0,2,None
rmcalls,rmcalls,0.0,175,N/A (numeric/high-cardinality)
rmmou,rmmou,0.0,343,N/A (numeric/high-cardinality)
totcalls,totcalls,0.0,12047,N/A (numeric/high-cardinality)
totmou,totmou,0.0,23384,N/A (numeric/high-cardinality)
totrev,totrev,0.0,72496,N/A (numeric/high-cardinality)
adjrev,adjrev,0.0,71748,N/A (numeric/high-cardinality)
adjmou,adjmou,0.0,23098,N/A (numeric/high-cardinality)
adjqty,adjqty,0.0,12000,N/A (numeric/high-cardinality)
avgrev,avgrev,0.0,14461,N/A (numeric/high-cardinality)
avgmou,avgmou,0.0,55799,N/A (numeric/high-cardinality)
avgqty,avgqty,0.0,33834,N/A (numeric/high-cardinality)
avg3mou,avg3mou,0.0,3049,N/A (numeric/high-cardinality)
avg3qty,avg3qty,0.0,1416,N/A (numeric/high-cardinality)
avg3rev,avg3rev,0.0,498,N/A (numeric/high-cardinality)
avg6mou,avg6mou,0.0,2910,N/A (numeric/high-cardinality)
avg6qty,avg6qty,0.0,1359,N/A (numeric/high-cardinality)
avg6rev,avg6rev,0.0,442,N/A (numeric/high-cardinality)
