covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
totmou,-7.001561417250054e-06,0.9999929984630936,3.048258488161513e-06,-1.2976038269615134e-05,-1.0270845648849735e-06,0.9999870240459189,0.9999989729159626,0.0,-2.2969054115462777,0.021624166221257287,5.531211682997494
totrev,0.0009041376708614151,1.0009045465265367,9.470025458716584e-05,0.0007185285825437959,0.0010897467591790343,1.0007187867860443,1.0010903407489251,0.0,9.547362621176601,1.330399450345024e-21,69.3486305149466
avgrev,0.007854512793187012,1.0078854403995277,0.0004378382513406721,0.006996365589505299,0.008712659996868726,1.0070208973328802,1.0087507256898132,0.0,17.93930240022723,5.818092767235422e-72,236.6382765320549
avgmou,0.0009482486904259027,1.0009486984203562,7.500025142468907e-05,0.0008012508988020633,0.0010952464820497422,1.000801571986055,1.001095846483508,0.0,12.643273487930628,1.2187229996851992e-36,119.30404115905347
rev_Mean,0.001085688959111509,1.0010862785327146,0.00018733666126993965,0.0007185158500384477,0.0014528620681845703,1.000718774044387,1.0014539179835837,0.0,5.795389710437422,6.8162710860508406e-09,27.12837014067543
mou_Mean,-0.00014421080635784522,0.9998557995915206,4.561772149067409e-05,-0.00023361989753634528,-5.480171517934517e-05,0.999766407389467,0.9999451997864072,0.0,-3.1612891140853474,0.0015707250989889052,9.314353575722413
change_mou,-0.0001264894550792538,0.9998735185443746,2.7101128160594462e-05,-0.00017960669021442317,-7.337221994408442e-05,0.9998204094381016,0.9999266304717315,0.0,-4.667313269385287,3.051638720181273e-06,18.3219843959639
change_rev,0.0003573651799680693,1.0003574290425112,0.0001078692231555607,0.0001459453875428563,0.0005687849723932823,1.0001459560380892,1.0005689467612386,0.0,3.312948489975725,0.0009231798062854697,10.081100712856392
mou_cvce_Mean,-1.500476234965181e-05,0.9999849953502212,6.301015991821616e-05,-0.00013850240644946475,0.00010849288175016114,0.999861507184566,1.0001084987673157,0.0,-0.23813242767717452,0.8117783844010122,0.3008421696493007
mouowylisv_Mean,2.739770772565348e-05,1.0000273980830463,0.00013781108382975496,-0.00024270705325109645,0.00029750246870240344,0.9997573223977231,1.0002975467269508,0.0,0.1988062713409849,0.8424142900965282,0.24739818549840645
mou_peav_Mean,-2.9044267463294288e-05,0.9999709561543173,5.679363182256478e-05,-0.00014035774038674917,8.226920546016058e-05,0.9998596521093,1.0000822725896639,0.0,-0.511400073058097,0.6090709437769237,0.7153178137605027
mou_opkv_Mean,-0.00010260213526268243,0.9998974031281563,5.9728402339983915e-05,-0.0002196676527031688,1.446338217780393e-05,0.9997803564724691,1.000014463486773,0.0,-1.7178114806864273,0.08583100676215778,3.542357269077967
totcalls,-0.0006291149061686085,0.9993710829451214,6.052373549763686e-05,-0.0007477392479538051,-0.0005104905643834119,0.9992525402393722,0.9994896397137553,0.0,-10.394515490425608,2.6261822401184383e-25,81.65523533874361
adjrev,-0.001413665995990182,0.9985873327590932,9.712047557834119e-05,-0.0016040186302851325,-0.0012233133616952315,0.9983972671200503,0.9987774345810747,0.0,-14.555797709720474,5.365635573156028e-48,157.02879948259923
adjqty,0.0006685575146143821,1.000668781049002,6.027361952437268e-05,0.0005504233911287415,0.0007866916381000228,1.0005505749018806,1.000787001161128,0.0,11.092041922984887,1.371215195562994e-28,92.55853165450458
avgqty,-0.001444664723352527,0.9985563783023943,0.0001608676776192913,-0.001759959577762938,-0.001129369868942116,0.9982415882429276,0.9988712676291954,0.0,-8.980453654409457,2.6965261874155536e-19,61.685531758156195
avg3qty,0.00013408530247331488,1.0001340942923094,8.897175783833351e-05,-4.0296138531038036e-05,0.0003084667434776678,0.9999597046733476,1.0003085143242358,0.0,1.5070546624127077,0.13179664653114176,2.923614432389965
avg6mou,-0.0001726884382140424,0.999827326471576,4.158069035493342e-05,-0.0002541850937620239,-9.119178266606088e-05,0.9997458472085319,0.9999088123751781,0.0,-4.153092138200958,3.280125881268212e-05,14.89588929227743
