param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
alpha_,adjmou,-0.00012983552220160256,0.9998701729060651,1.3971402053266665e-05,-0.00015721896703953418,-0.00010245207736367094,0.9998427933912146,0.9998975531706713,0.0,-9.292948675200826,1.5007199834171412e-20,65.85290708549346
alpha_,adjqty,-0.00028589077281203915,0.9997141500900607,3.579510182541484e-05,-0.00035604788321279615,-0.00021573366241128212,0.9996440154943127,0.9997842896064218,0.0,-7.986868544373134,1.3840954468273172e-15,49.3599779890667
alpha_,adjrev,0.0016787677918661148,1.001680177711381,2.3173775224440875e-05,0.0016333480270403842,0.0017241875566918455,1.0016346826664737,1.0017256748227097,0.0,72.44256818783481,0.0,inf
alpha_,area_CALIFORNIA NORTH AREA,0.01753796735713404,1.0176926605179535,0.005398740848508492,0.0069566297321921825,0.028119304982075898,1.0069808832891938,1.02851838446934,0.0,3.2485292125068845,0.0011600329675136765,9.751618478108687
alpha_,area_CENTRAL/SOUTH TEXAS AREA,0.04740390171423417,1.0485454328608887,0.006095620043221896,0.035456705966078764,0.059351097462389577,1.03609279052062,1.0611477416235795,0.0,7.776715310027494,7.443185126701517e-15,46.9330013042402
alpha_,area_CHICAGO AREA,0.010574427909655536,1.0106305347640314,0.005586569352966739,-0.0003750468192945059,0.021523902638605576,0.9996250235019722,1.0217572127388996,0.0,1.892830329590378,0.058380436779648215,4.0983711852128035
alpha_,area_DALLAS AREA,0.038913105692481714,1.0396801374393456,0.00559664683081509,0.027943879469893906,0.04988233191506952,1.0283379719298995,1.0511474025969183,0.0,6.952932151842508,3.577707850212919e-12,38.02410155457249
alpha_,area_DC/MARYLAND/VIRGINIA AREA,0.03229991341966458,1.0328272176021136,0.005342940604530994,0.02182794226324717,0.04277188457608199,1.0220679146487883,1.0436997836746331,0.0,6.045343905240714,1.4909163539951346e-09,29.321153534702617
alpha_,area_GREAT LAKES AREA,0.031404637695735274,1.03190296625881,0.0058362316569614756,0.019965833842658258,0.04284344154881229,1.0201664842626994,1.0437744703437364,0.0,5.380978607707547,7.408199878188809e-08,23.68630173509826
alpha_,area_HOUSTON AREA,0.04150618320559434,1.0423796070789653,0.006013326103173842,0.029720280616079023,0.05329208579510966,1.0301663361552553,1.0547376740238816,0.0,6.9023669253006785,5.11431251774672e-12,37.50859681732815
alpha_,area_LOS ANGELES AREA,0.08393766975159526,1.0875611037424107,0.0055388143206248006,0.07308179316611596,0.09479354633707457,1.0758185279196877,1.0994318499613238,0.0,15.154447304549967,7.080857296310905e-52,169.91633689272425
alpha_,area_MIDWEST AREA,0.051080254909481135,1.0524073507507672,0.0054458300459984555,0.04040662415339806,0.06175388566556421,1.0412340790494488,1.0637005205643577,0.0,9.379700519118188,6.616037890122284e-21,67.03452249577128
alpha_,area_NEW ENGLAND AREA,0.019371710922577213,1.019560559986674,0.005485280403098016,0.00862075888740175,0.030122662957752677,1.0086580246386767,1.0305809403070114,0.0,3.5315807942354813,0.00041308364776560376,11.241278428419577
alpha_,area_NEW YORK CITY AREA,0.031331787847569494,1.0318277950225359,0.004770902378065001,0.021980991012805595,0.04068258468233339,1.022224352836118,1.0415214582074772,0.0,6.56726660172769,5.1247247040487503e-11,34.183734537439726
alpha_,area_NORTH FLORIDA AREA,0.017541008522491314,1.0176957554943231,0.005869984853572693,0.006036049619693213,0.029045967425289414,1.006054303275375,1.0294719155608743,0.0,2.988254477661079,0.00280575830686656,8.477393546731706
alpha_,area_NORTHWEST/ROCKY MOUNTAIN AREA,0.00848206631842311,1.0085181409666557,0.005813479610507507,-0.002912144343029544,0.019876276979875766,0.9970920918361882,1.0200751254438185,0.0,1.4590343282691312,0.14455565960326433,2.7903030009688217
alpha_,area_OHIO AREA,0.02565542929460453,1.0259873623700553,0.005857792586942219,0.014174366795292066,0.037136491793916995,1.014275299453997,1.0378346670866618,0.0,4.379709406542289,1.1883767521345153e-05,16.360648186894288
alpha_,area_PHILADELPHIA AREA,0.014680657730445785,1.0147889478606549,0.007049628352563559,0.0008636400550287755,0.028497675405862795,1.0008640130994853,1.0289076190391249,0.0,2.0824725781618323,0.037299325096987856,4.7447066635311455
alpha_,area_SOUTH FLORIDA AREA,0.02227814383885591,1.0225281548269953,0.00639390130272105,0.009746327564818916,0.034809960112892904,1.0097939776940956,1.0354229184466774,0.0,3.4842802201802847,0.000493462549665301,10.98477178111362
alpha_,area_SOUTHWEST AREA,0.04116318396741742,1.0420221329780228,0.005474308157742134,0.030433737137969027,0.05189263079686582,1.0309015772965227,1.0532626484708074,0.0,7.519339938728455,5.5053471572558655e-14,44.04615978801944
alpha_,area_TENNESSEE AREA,0.03681704314829036,1.0375031851564223,0.007002771921482801,0.023091862390235716,0.050542223906345,1.0233605435750397,1.0518412752648711,0.0,5.2574956832943,1.4603032117198175e-07,22.707228708375432
alpha_,asl_flag_Y,-0.020560282705389992,0.9796496387638974,0.003263351291441568,-0.02695633370551774,-0.014164231705262244,0.9734037455309363,0.9859356090794225,0.0,-6.3003583951599635,2.9695819929700316e-10,31.64902108152139
alpha_,avg3mou,0.00016035972947237603,1.000160372587781,3.0790652079533756e-05,0.00010001116033598654,0.00022070829860876552,1.0001000161616187,1.0002207326564772,0.0,5.208065391345368,1.908196826309416e-07,22.32128667436965
alpha_,avg3qty,3.4365462852502826e-05,1.0000343660533517,2.3877710780914407e-05,-1.243399031135318e-05,8.116491601635883e-05,0.9999875660869904,1.0000811682099773,0.0,1.439227703518854,0.150086018655303,2.736138506710519
alpha_,avg6mou,0.00016070695064891084,1.0001607198647027,1.092688333342925e-05,0.00013929065285211853,0.00018212324844570316,1.0001393003542456,1.0001821398338913,0.0,14.707482979821952,5.771449426247542e-49,160.24554297056434
alpha_,avgmou,-0.0001304153794620848,0.9998695931242538,1.5834010184407006e-05,-0.00016144946915436293,-9.938128976980665e-05,0.9998385635631097,0.9999006236483869,0.0,-8.236408714105481,1.7745696990291497e-16,52.32338027855861
alpha_,avgqty,0.00024268666239709696,1.0002427161131875,3.765186110799324e-05,0.00016889037067452584,0.0003164829541196681,1.000168904633456,1.0003165330401333,0.0,6.4455422721607825,1.1518781481255107e-10,33.01529284007343
alpha_,avgrev,-0.01062088392487779,0.9894353185136221,0.00010353677332270015,-0.01082381227166577,-0.01041795557808981,0.9892345544112351,0.9896361233608706,0.0,-102.58078926001444,0.0,inf
alpha_,change_mou,0.00012504684046636013,1.0001250546591485,1.1031527204535067e-05,0.00010342544445099758,0.00014666823648172269,1.0001034307930468,1.0001466789927935,0.0,11.335406072783224,8.762473280438124e-30,96.52650470672593
