param,covariate,coef,exp(coef),p,abs_coef
lambda_,Intercept,2.9556402301998657,19.21402017879009,0.0,2.9556402301998657
rho_,Intercept,1.3216062637216384,3.749439130969838,0.0,1.3216062637216384
lambda_,area_SOUTHWEST AREA,0.22938319682101174,1.2578239408078338,1.0261535769358516e-220,0.22938319682101174
lambda_,area_LOS ANGELES AREA,0.17585029061453694,1.1922595528440367,5.773010095918547e-133,0.17585029061453694
lambda_,area_MIDWEST AREA,0.1183393097154701,1.1256259824092183,4.289461751715236e-60,0.1183393097154701
lambda_,area_CENTRAL/SOUTH TEXAS AREA,0.10719193152685147,1.1131478821503598,8.030572187731191e-41,0.10719193152685147
lambda_,area_DALLAS AREA,0.08191869478915824,1.0853675602036972,1.1376502142562573e-28,0.08191869478915824
lambda_,new_cell_U,-0.07434647347669693,0.9283499894650471,4.0612745312203074e-88,0.07434647347669693
lambda_,area_GREAT LAKES AREA,0.06852151478835591,1.0709236653991296,7.637373936806206e-19,0.06852151478835591
lambda_,area_TENNESSEE AREA,0.06203350597786044,1.063997994424036,1.694857132417875e-11,0.06203350597786044
lambda_,area_HOUSTON AREA,0.05881914694124743,1.0605834136400039,1.5067564852462032e-13,0.05881914694124743
lambda_,area_NEW YORK CITY AREA,0.05286306744746599,1.054285269261685,8.090764404214469e-17,0.05286306744746599
lambda_,area_DC/MARYLAND/VIRGINIA AREA,0.04419594136771281,1.0451871302216207,6.249362533728238e-10,0.04419594136771281
lambda_,area_OHIO AREA,0.043981584331995484,1.0449631110175206,1.8255653341933182e-08,0.043981584331995484
lambda_,area_NORTHWEST/ROCKY MOUNTAIN AREA,0.0384291369919419,1.0391770865345173,3.456896512155461e-07,0.0384291369919419
lambda_,dualband_Y,-0.03778254793914252,0.962922307566993,1.2066660381498862e-34,0.03778254793914252
lambda_,area_NEW ENGLAND AREA,0.030193415151323653,1.03065385874873,3.140361311779165e-05,0.030193415151323653
lambda_,area_CALIFORNIA NORTH AREA,0.029089070580972164,1.0295162900054542,4.264807926740229e-05,0.029089070580972164
lambda_,area_CHICAGO AREA,0.028378475405661473,1.028784980560127,0.0001304968251621809,0.028378475405661473
lambda_,area_NORTH FLORIDA AREA,0.028001149085305453,1.028396866136473,0.000278763927217243,0.028001149085305453
lambda_,area_SOUTH FLORIDA AREA,0.026023028203917987,1.0263645835342283,0.0017151267580342384,0.026023028203917987
lambda_,area_PHILADELPHIA AREA,0.02526963473048558,1.0255916183656495,0.0066520165174897665,0.02526963473048558
lambda_,dualband_T,-0.021329871328475726,0.9788960015797923,0.003450031697465679,0.021329871328475726
lambda_,asl_flag_Y,0.020382865833864745,1.0205920150468015,2.392222528694322e-06,0.020382865833864745
lambda_,new_cell_Y,-0.008869496517320963,0.9911697214334393,0.041593230248204945,0.008869496517320963
lambda_,avgrev,-0.006579204447529593,0.9934423911315202,0.0,0.006579204447529593
lambda_,adjrev,0.0015537887065884333,1.0015549964617119,0.0,0.0015537887065884333
lambda_,totrev,-0.000918728926843357,0.9990816929753626,0.0,0.000918728926843357
lambda_,totcalls,0.0007245254187198333,1.0007247879506609,5.043456863022697e-59,0.0007245254187198333
lambda_,adjqty,-0.0007022072025928403,0.9992980392871859,2.0753645842409703e-54,0.0007022072025928403
lambda_,change_rev,-0.00029893599075210363,0.9997011086861592,1.5108138618724806e-31,0.00029893599075210363
lambda_,avgmou,-0.00029128009488315693,0.9997087623230451,3.3942361432168414e-57,0.00029128009488315693
lambda_,eqpdays,0.0002441977728992494,1.0002442275916026,0.0,0.0002441977728992494
lambda_,avg3qty,-0.00024190647708853232,0.999758122779924,3.0709743591002404e-18,0.00024190647708853232
lambda_,rev_Mean,-0.0002323655968721312,0.9997676613979223,6.014814635997819e-06,0.0002323655968721312
lambda_,avg3mou,0.00013846559379771613,1.0001384751806006,3.854714117136938e-18,0.00013846559379771613
lambda_,avg6mou,0.00011918477318164291,1.0001191918759689,3.6454485631322214e-20,0.00011918477318164291
lambda_,mouowylisv_Mean,-9.040035454428895e-05,0.9999096037314447,0.009847021950032071,9.040035454428895e-05
lambda_,change_mou,8.470520593644563e-05,1.0000847087935236,1.8024730647699446e-34,8.470520593644563e-05
lambda_,mou_peav_Mean,-3.8690257663010764e-05,0.9999613104907954,0.012926511422665534,3.8690257663010764e-05
lambda_,avgqty,3.34312392160262e-05,1.0000334317980462,0.40557087928621605,3.34312392160262e-05
lambda_,totmou,-1.8207196406666173e-05,0.9999817929693433,0.2686078916131003,1.8207196406666173e-05
lambda_,mou_Mean,1.8139802685704962e-05,1.000018139967213,0.17910710927624712,1.8139802685704962e-05
lambda_,mou_cvce_Mean,1.2693031310665202e-05,1.0000126931118676,0.46837188459504386,1.2693031310665202e-05
lambda_,adjmou,4.152056066318454e-06,1.000004152064686,0.8032473062864541,4.152056066318454e-06
lambda_,mou_opkv_Mean,-5.303944929415808e-07,0.9999994696056477,0.9743851714755153,5.303944929415808e-07
