param,covariate,coef,exp(coef),p,abs_coef
alpha_,Intercept,2.7959034956312943,16.37741899720651,0.0,2.7959034956312943
beta_,Intercept,1.9260640609522175,6.8624468440808215,0.0,1.9260640609522175
alpha_,area_LOS ANGELES AREA,0.08271676894202051,1.0862341097392505,1.6494518794102798e-50,0.08271676894202051
alpha_,area_MIDWEST AREA,0.050825039336551595,1.052138794277145,1.006645244636796e-20,0.050825039336551595
alpha_,area_CENTRAL/SOUTH TEXAS AREA,0.04770956481692489,1.0488659834989646,5.055446264871706e-15,0.04770956481692489
alpha_,area_HOUSTON AREA,0.04105989186026909,1.0419145058748231,8.523814196700615e-12,0.04105989186026909
alpha_,area_SOUTHWEST AREA,0.04076714402530793,1.0416095323013683,9.228466916910552e-14,0.04076714402530793
alpha_,area_DALLAS AREA,0.038974438416445475,1.0397439058097497,3.280347965471924e-12,0.038974438416445475
alpha_,area_TENNESSEE AREA,0.0367983280747681,1.0374837683897262,1.4711020294512438e-07,0.0367983280747681
alpha_,new_cell_U,-0.03523584128838484,0.9653777134840381,5.209580259309997e-34,0.03523584128838484
alpha_,area_DC/MARYLAND/VIRGINIA AREA,0.032330102149404856,1.0328583978144974,1.4320980020005469e-09,0.032330102149404856
alpha_,area_GREAT LAKES AREA,0.030926759033080852,1.031409959657355,1.1494203333625122e-07,0.030926759033080852
alpha_,area_NEW YORK CITY AREA,0.03083708368679035,1.0313174717590594,1.0100047324514581e-10,0.03083708368679035
alpha_,area_OHIO AREA,0.02505107404988715,1.0253674888573645,1.87434076090457e-05,0.02505107404988715
alpha_,area_SOUTH FLORIDA AREA,0.022079463989323308,1.0223250192671909,0.0005513201110476694,0.022079463989323308
alpha_,dualband_T,-0.021408404954403538,0.9788191283459884,0.00017593741142542263,0.021408404954403538
alpha_,asl_flag_Y,-0.020195219702742913,0.9800073378899526,5.849027901148454e-10,0.020195219702742913
alpha_,area_NEW ENGLAND AREA,0.019381949392856396,1.0195709987806036,0.0004087114550332751,0.019381949392856396
alpha_,dualband_Y,-0.0192464388042052,0.9809375913661506,3.375638032887053e-16,0.0192464388042052
alpha_,area_CALIFORNIA NORTH AREA,0.017734600674816716,1.0178927924778332,0.001017814582219293,0.017734600674816716
alpha_,area_NORTH FLORIDA AREA,0.01755251613743173,1.0177074668125883,0.002782238953241511,0.01755251613743173
alpha_,area_PHILADELPHIA AREA,0.014860507210129202,1.0149714735379982,0.03500222165554708,0.014860507210129202
alpha_,avgrev,-0.010586695032432317,0.9894691467895809,0.0,0.010586695032432317
alpha_,area_CHICAGO AREA,0.010204664296064267,1.0102569094462723,0.06765876340963936,0.010204664296064267
alpha_,area_NORTHWEST/ROCKY MOUNTAIN AREA,0.008886046862143036,1.0089256449798991,0.12633361411556165,0.008886046862143036
alpha_,new_cell_Y,0.0028907077427804853,1.0028948898672032,0.3944041543859923,0.0028907077427804853
alpha_,adjrev,0.0016554174434331673,1.0016567884032885,0.0,0.0016554174434331673
alpha_,rev_Mean,-0.0008727555288460813,0.999127625211488,3.0914769358579783e-66,0.0008727555288460813
alpha_,totrev,-0.0007972070718838307,0.9992031106132481,4.7199687012460306e-279,0.0007972070718838307
alpha_,adjqty,-0.0006187123702610359,0.9993814789927693,0.0,0.0006187123702610359
alpha_,totcalls,0.0006124626652040857,1.0006126502587582,0.0,0.0006124626652040857
alpha_,eqpdays,0.0002928519464180594,1.0002928948317356,0.0,0.0002928519464180594
alpha_,avgqty,0.00019504925981326211,1.0001950682831569,1.5906991203988904e-07,0.00019504925981326211
alpha_,avg6mou,0.00016792554938540197,1.0001679396496697,1.04892126743033e-55,0.00016792554938540197
alpha_,change_rev,-0.00014809014005679776,0.9998519208247467,7.308337310149811e-06,0.00014809014005679776
alpha_,avgmou,-0.00011757476088347189,0.9998824321507579,9.200243337943152e-14,0.00011757476088347189
alpha_,mou_peav_Mean,8.533879491739572e-05,1.000085342436376,7.829402603318937e-11,8.533879491739572e-05
alpha_,avg3qty,8.158610146939886e-05,1.000081589429706,0.0004381660565767222,8.158610146939886e-05
alpha_,change_mou,7.7697689182138e-05,1.0000777007077257,1.2621158959667085e-38,7.7697689182138e-05
alpha_,mou_opkv_Mean,7.499669904148577e-05,1.0000749995113642,4.254066204885231e-09,7.499669904148577e-05
alpha_,mouowylisv_Mean,-3.4643466327058294e-05,0.9999653571337509,0.2365595482453157,3.4643466327058294e-05
alpha_,mou_Mean,2.5939202076624307e-05,1.0000259395385007,0.02762503028055529,2.5939202076624307e-05
alpha_,totmou,-2.0435178196923665e-05,0.9999795650305999,1.0062603012083713e-111,2.0435178196923665e-05
alpha_,mou_cvce_Mean,-1.5115564282996867e-05,0.9999848845499566,0.2599244948945714,1.5115564282996867e-05
