param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
lambda_,adjmou,4.152056066318454e-06,1.000004152064686,1.6665105563420327e-05,-2.8510950636543473e-05,3.681506276918038e-05,0.9999714894557966,1.0000368157404518,0.0,0.24914670060249475,0.8032473062864541,0.3160838573029569
lambda_,adjqty,-0.0007022072025928403,0.9992980392871859,4.520752580513684e-05,-0.0007908123250010737,-0.000613602080184607,0.999209500284655,0.9993865861350734,0.0,-15.532971337994567,2.0753645842409703e-54,178.33075232351905
lambda_,adjrev,0.0015537887065884333,1.0015549964617119,2.319478476239309e-05,0.0015083277638249844,0.0015992496493518822,1.001509465862283,1.0016005291310517,0.0,66.98870985462524,0.0,inf
lambda_,area_CALIFORNIA NORTH AREA,0.029089070580972164,1.0295162900054542,0.00710764606782852,0.01515834027317053,0.0430198008887738,1.0152738106216166,1.0439585659534076,0.0,4.092644780476423,4.264807926740229e-05,14.517159705784028
lambda_,area_CENTRAL/SOUTH TEXAS AREA,0.10719193152685147,1.1131478821503598,0.00801200181294724,0.09148869652940526,0.12289516652429767,1.0958043902298338,1.1307658726170489,0.0,13.37892002890356,8.030572187731191e-41,133.19354910525536
lambda_,area_CHICAGO AREA,0.028378475405661473,1.028784980560127,0.0074182025488375046,0.013839065579916734,0.042917885231406216,1.0139352687229093,1.043852175651405,0.0,3.8255190821270606,0.0001304968251621809,12.903697671440066
lambda_,area_DALLAS AREA,0.08191869478915824,1.0853675602036972,0.00737426233614907,0.06746540619775586,0.09637198338056062,1.0697932507416088,1.1011686042381459,0.0,11.108730752306974,1.1376502142562573e-28,92.82792960687141
lambda_,area_DC/MARYLAND/VIRGINIA AREA,0.04419594136771281,1.0451871302216207,0.007146810131368144,0.030188450905885275,0.05820343182954034,1.0306487423427126,1.0599305974000357,0.0,6.18400944691841,6.249362533728238e-10,30.575571913712157
lambda_,area_GREAT LAKES AREA,0.06852151478835591,1.0709236653991296,0.0077292776566508905,0.05337240895481002,0.08367062062190181,1.0548223972890887,1.0872707102725552,0.0,8.86518997404557,7.637373936806206e-19,60.18355714098848
lambda_,area_HOUSTON AREA,0.05881914694124743,1.0605834136400039,0.007962995393615812,0.043211962760702084,0.07442633112179277,1.044159194261595,1.0772659796227164,0.0,7.386560462964052,1.5067564852462032e-13,42.59361895921131
