param,covariate,coef,exp(coef),p,abs_coef
alpha_,Intercept,2.971679011055477,19.52467423453058,0.0,2.971679011055477
beta_,Intercept,1.8772496808691475,6.535505395878846,0.0,1.8772496808691475
alpha_,dualband_T,-0.09606235247714183,0.9084073728528508,8.938810996190411e-63,0.09606235247714183
alpha_,area_LOS ANGELES AREA,0.08656273531556315,1.0904197734006116,4.976678037969257e-50,0.08656273531556315
alpha_,area_MIDWEST AREA,0.05947344818110815,1.0612775817552884,2.8709089746655515e-25,0.05947344818110815
alpha_,area_CENTRAL/SOUTH TEXAS AREA,0.052078676040046054,1.053458621205707,3.5351419434034394e-16,0.052078676040046054
alpha_,dualband_Y,-0.04883977406933259,0.9523337060291907,5.364519820270875e-88,0.04883977406933259
alpha_,area_SOUTHWEST AREA,0.044945437474430874,1.045970787543885,6.427627700487064e-15,0.044945437474430874
alpha_,area_TENNESSEE AREA,0.04484266441020255,1.0458632954446967,1.1324044280333405e-09,0.04484266441020255
alpha_,area_DALLAS AREA,0.04451608866884201,1.0455217976291113,3.8536357806419193e-14,0.04451608866884201
alpha_,area_HOUSTON AREA,0.043159530864582976,1.0441044484504156,7.796289901029159e-12,0.043159530864582976
alpha_,area_GREAT LAKES AREA,0.0397462406915099,1.0405466922780993,9.900106500430462e-11,0.0397462406915099
alpha_,asl_flag_Y,-0.03580262179833105,0.9648307112410472,8.102433154219444e-26,0.03580262179833105
alpha_,new_cell_U,-0.03505168794537716,0.9655555073874097,9.328203561701659e-31,0.03505168794537716
alpha_,area_DC/MARYLAND/VIRGINIA AREA,0.03493708873489699,1.035554558702936,4.790245837924694e-10,0.03493708873489699
alpha_,area_OHIO AREA,0.030344149174858948,1.0308092250609318,8.740888051387793e-07,0.030344149174858948
alpha_,area_NEW YORK CITY AREA,0.03021146797985073,1.030672465134061,1.6240898584455662e-09,0.03021146797985073
alpha_,area_NEW ENGLAND AREA,0.023789456846566238,1.0240746832780534,3.6950044455159826e-05,0.023789456846566238
alpha_,area_CALIFORNIA NORTH AREA,0.021205578597719633,1.0214320146160725,0.00018818958101675392,0.021205578597719633
alpha_,area_NORTH FLORIDA AREA,0.018182555851694555,1.0183488649661199,0.0032044394647065227,0.018182555851694555
alpha_,area_SOUTH FLORIDA AREA,0.016293826840431617,1.0164272951548308,0.01522945179634131,0.016293826840431617
alpha_,area_NORTHWEST/ROCKY MOUNTAIN AREA,0.01615661245817953,1.0162878362795225,0.008317915555194953,0.01615661245817953
alpha_,area_PHILADELPHIA AREA,0.014776122436365356,1.0148858290134248,0.04645510326241097,0.014776122436365356
alpha_,area_CHICAGO AREA,0.014019273329485113,1.0141180041805722,0.01703133246029843,0.014019273329485113
alpha_,avgrev,-0.012195473088383507,0.987878590308419,0.0,0.012195473088383507
alpha_,new_cell_Y,0.00827217377809498,1.0083064827455992,0.020237902502998773,0.00827217377809498
alpha_,adjrev,0.001862302233240423,1.0018640373950092,0.0,0.001862302233240423
alpha_,rev_Mean,-0.0009757148500322572,0.9990247610049232,3.5169520015551775e-74,0.0009757148500322572
alpha_,totrev,-0.0008945810763387033,0.9991058189420206,1.8291001493226412e-306,0.0008945810763387033
alpha_,adjqty,-0.0002976044652683956,0.9997024398145478,1.7929458897861166e-15,0.0002976044652683956
alpha_,totcalls,0.000290402124291911,1.0002904442950709,4.971583286108348e-15,0.000290402124291911
alpha_,avgqty,0.00024048176839893665,1.0002405106864574,6.413055654223448e-10,0.00024048176839893665
alpha_,avg3mou,0.00018449127498057442,1.0001845082945424,1.1052824455155854e-08,0.00018449127498057442
alpha_,mou_Mean,-0.0001415901499386478,0.9998584198734736,5.177040791837645e-06,0.0001415901499386478
alpha_,avg6mou,0.00014064464514703743,1.000140654536069,1.1523830860149185e-34,0.00014064464514703743
alpha_,adjmou,-0.00013851768664997202,0.9998614919064819,4.498417590387739e-21,0.00013851768664997202
alpha_,change_rev,-0.00013258676747250438,0.9998674220217645,0.00014578921595318292,0.00013258676747250438
alpha_,change_mou,0.00012037814849582117,1.000120385394236,2.295870363846656e-25,0.00012037814849582117
alpha_,mou_peav_Mean,0.00011184775060313728,1.000111854005796,4.995754177725536e-16,0.00011184775060313728
alpha_,totmou,0.00011053800124099165,1.000110544110791,3.25421113007049e-14,0.00011053800124099165
alpha_,mouowylisv_Mean,-7.389784333274134e-05,0.9999261048870456,0.01572801823692611,7.389784333274134e-05
alpha_,mou_opkv_Mean,6.847631495541713e-05,1.0000684786595118,3.408195084568213e-07,6.847631495541713e-05
alpha_,avgmou,-3.987475285347674e-05,0.9999601260421339,0.016029782257767865,3.987475285347674e-05
alpha_,avg3qty,2.4613318438075e-05,1.0000246136213482,0.3243691727547503,2.4613318438075e-05
alpha_,mou_cvce_Mean,-7.791772117883714e-06,0.9999922082582379,0.5798981839873252,7.791772117883714e-06
